Date,Close
3/2/2015,1.54
3/3/2015,1.54
3/4/2015,1.69
3/5/2015,1.67
3/6/2015,1.78
3/9/2015,1.88
3/10/2015,1.86
3/11/2015,1.94
3/12/2015,2.38
3/13/2015,2.9
3/16/2015,2.85
3/17/2015,2.37
3/18/2015,2.67
3/19/2015,2.55
3/20/2015,2.52
3/23/2015,2.45
3/24/2015,2.52
3/25/2015,2.4
3/26/2015,2.26
3/27/2015,2.41
3/30/2015,2.39
3/31/2015,2.34
4/1/2015,2.37
4/2/2015,2.36
4/6/2015,2.47
4/7/2015,2.42
4/8/2015,2.54
4/9/2015,2.59
4/10/2015,2.59
4/13/2015,2.55
4/14/2015,2.43
4/15/2015,2.42
4/16/2015,2.37
4/17/2015,2.33
4/20/2015,2.29
4/21/2015,2.39
4/22/2015,2.34
4/23/2015,2.43
4/24/2015,2.33
4/27/2015,2.15
4/28/2015,2.08
4/29/2015,2.07
4/30/2015,1.92
5/1/2015,1.89
5/4/2015,1.97
5/5/2015,1.9
5/6/2015,1.97
5/7/2015,1.98
5/8/2015,1.85
5/11/2015,1.93
5/12/2015,1.9
5/13/2015,1.86
5/14/2015,1.9
5/15/2015,1.93
5/18/2015,1.91
5/19/2015,1.93
5/20/2015,1.93
5/21/2015,1.92
5/22/2015,1.92
5/26/2015,1.92
5/27/2015,1.95
5/28/2015,2.32
5/29/2015,2.31
6/1/2015,2.32
6/2/2015,2.3
6/3/2015,2.43
6/4/2015,2.4
6/5/2015,2.45
6/8/2015,2.49
6/9/2015,2.37
6/10/2015,2.33
6/11/2015,2.39
6/12/2015,2.47
6/15/2015,2.42
6/16/2015,2.43
6/17/2015,2.38
6/18/2015,2.38
6/19/2015,2.36
6/22/2015,2.5
6/23/2015,2.56
6/24/2015,2.52
6/25/2015,2.51
6/26/2015,2.41
6/29/2015,2.31
6/30/2015,2.46
7/1/2015,2.45
7/2/2015,2.52
7/6/2015,2.5
7/7/2015,2.46
7/8/2015,2.27
7/9/2015,2.39
7/10/2015,2.41
7/13/2015,2.41
7/14/2015,2.49
7/15/2015,2.38
7/16/2015,2.44
7/17/2015,2.4
7/20/2015,2.39
7/21/2015,2.38
7/22/2015,2.34
7/23/2015,2.24
7/24/2015,2.16
7/27/2015,2.16
7/28/2015,2.15
7/29/2015,2.18
7/30/2015,2.2
7/31/2015,2.26
8/3/2015,2.2
8/4/2015,2.2
8/5/2015,2.09
8/6/2015,2.04
8/7/2015,2.33
8/10/2015,2.35
8/11/2015,2.29
8/12/2015,2.32
8/13/2015,2.32
8/14/2015,2.34
8/17/2015,2.31
8/18/2015,2.24
8/19/2015,2.17
8/20/2015,2.03
8/21/2015,2.03
8/24/2015,1.97
8/25/2015,1.94
8/26/2015,1.9
8/27/2015,2.09
8/28/2015,2.23
8/31/2015,2.21
9/1/2015,2.12
9/2/2015,2.32
9/3/2015,2.29
9/4/2015,2.35
9/8/2015,2.38
9/9/2015,2.34
9/10/2015,2.39
9/11/2015,2.46
9/14/2015,2.41
9/15/2015,2.37
9/16/2015,2.44
9/17/2015,2.41
9/18/2015,2.46
9/21/2015,2.34
9/22/2015,2.32
9/23/2015,2.29
9/24/2015,2.24
9/25/2015,2.2
9/28/2015,2.04
9/29/2015,1.92
9/30/2015,1.93
10/1/2015,1.98
10/2/2015,2.06
10/5/2015,2.05
10/6/2015,2.04
10/7/2015,2
10/8/2015,2.04
10/9/2015,2.08
10/12/2015,1.98
10/13/2015,1.95
10/14/2015,1.95
10/15/2015,2
10/16/2015,1.99
10/19/2015,1.98
10/20/2015,1.96
10/21/2015,1.93
10/22/2015,1.89
10/23/2015,1.88
10/26/2015,1.83
10/27/2015,1.82
10/28/2015,1.95
10/29/2015,1.89
10/30/2015,1.9
11/2/2015,2.01
11/3/2015,1.96
11/4/2015,1.97
11/5/2015,1.98
11/6/2015,2.04
11/9/2015,2.11
11/10/2015,2.07
11/11/2015,2.03
11/12/2015,1.99
11/13/2015,2.02
11/16/2015,1.93
11/17/2015,1.93
11/18/2015,1.95
11/19/2015,2
11/20/2015,1.96
11/23/2015,1.98
11/24/2015,1.99
11/25/2015,2.07
11/27/2015,2.11
11/30/2015,2.08
12/1/2015,2.05
12/2/2015,2.07
12/3/2015,2.05
12/4/2015,2
12/7/2015,1.87
12/8/2015,1.84
12/9/2015,1.85
12/10/2015,1.93
12/11/2015,1.87
12/14/2015,1.85
12/15/2015,1.95
12/16/2015,2.04
12/17/2015,1.94
12/18/2015,1.9
12/21/2015,1.91
12/22/2015,1.88
12/23/2015,1.92
12/24/2015,1.92
12/28/2015,1.86
12/29/2015,1.88
12/30/2015,1.85
12/31/2015,1.89
1/4/2016,1.81
1/5/2016,1.84
1/6/2016,1.74
1/7/2016,1.69
1/8/2016,1.63
1/11/2016,1.55
1/12/2016,1.55
1/13/2016,1.52
1/14/2016,1.56
1/15/2016,1.5
1/19/2016,1.42
1/20/2016,1.51
1/21/2016,1.55
1/22/2016,1.62
1/25/2016,1.58
1/26/2016,1.59
1/27/2016,1.54
1/28/2016,1.41
1/29/2016,1.36
2/1/2016,1.4
2/2/2016,1.37
