Date,Close
3/2/2015,43.89
3/3/2015,43.86
3/4/2015,43.4
3/5/2015,44.85
3/6/2015,42.98
3/9/2015,42.96
3/10/2015,44.24
3/11/2015,45.76
3/12/2015,46.76
3/13/2015,47.69
3/16/2015,47.65
3/17/2015,47.16
3/18/2015,50.47
3/19/2015,51.56
3/20/2015,53.38
3/23/2015,51.68
3/24/2015,51.87
3/25/2015,45
3/26/2015,45.61
3/27/2015,50.7
3/30/2015,51.06
3/31/2015,50.23
4/1/2015,50.86
4/2/2015,46.87
4/6/2015,46.26
4/7/2015,46.96
4/8/2015,48.44
4/9/2015,49.6
4/10/2015,51.41
4/13/2015,52.25
4/14/2015,53.69
4/15/2015,59.5
4/16/2015,61.31
4/17/2015,59.92
4/20/2015,60.53
4/21/2015,62.06
4/22/2015,59.5
4/23/2015,59.94
4/24/2015,58.57
4/27/2015,54.58
4/28/2015,53.99
4/29/2015,54.8
4/30/2015,53
5/1/2015,54.64
5/4/2015,57.85
5/5/2015,54.75
5/6/2015,55.16
5/7/2015,54.86
5/8/2015,55.99
5/11/2015,56.58
5/12/2015,57.93
5/13/2015,57.29
5/14/2015,58.29
5/15/2015,58.44
5/18/2015,59.5
5/19/2015,58.94
5/20/2015,63.01
5/21/2015,68.3
5/22/2015,68.98
5/26/2015,71
5/27/2015,69.64
5/28/2015,73.13
5/29/2015,74.87
6/1/2015,70.78
6/2/2015,73.81
6/3/2015,75.27
6/4/2015,78.61
6/5/2015,80.82
6/8/2015,75.15
6/9/2015,86.71
6/10/2015,81.97
6/11/2015,84.6
6/12/2015,85.48
6/15/2015,78.04
6/16/2015,75.83
6/17/2015,77.25
6/18/2015,76.53
6/19/2015,70.53
6/22/2015,72.12
6/23/2015,74.48
6/24/2015,74.07
6/25/2015,72.39
6/26/2015,70.61
6/29/2015,68.83
6/30/2015,73
7/1/2015,69.26
7/2/2015,68.91
7/6/2015,70.86
7/7/2015,69.87
7/8/2015,66.97
7/9/2015,69.77
7/10/2015,72.87
7/13/2015,73.26
7/14/2015,75.53
7/15/2015,73.06
7/16/2015,74.53
7/17/2015,76.35
7/20/2015,73.03
7/21/2015,74.69
7/22/2015,76.98
7/23/2015,75.18
7/24/2015,72.45
7/27/2015,69.28
7/28/2015,72.83
7/29/2015,68.94
7/30/2015,67.76
7/31/2015,68.36
8/3/2015,67.76
8/4/2015,68.63
8/5/2015,71.31
8/6/2015,66.95
8/7/2015,65.51
8/10/2015,67.29
8/11/2015,63.88
8/12/2015,62.47
8/13/2015,59.75
8/14/2015,58.63
8/17/2015,62.59
8/18/2015,56.95
8/19/2015,54.91
8/20/2015,54.49
8/21/2015,54.28
8/24/2015,50.74
8/25/2015,51.72
8/26/2015,50.39
8/27/2015,52.92
8/28/2015,53.6
8/31/2015,54.01
9/1/2015,51.88
9/2/2015,54.77
9/3/2015,53.34
9/4/2015,54.62
9/8/2015,55.91
9/9/2015,55.58
9/10/2015,56.3
9/11/2015,58.81
9/14/2015,56.5
9/15/2015,58.47
9/16/2015,56.27
9/17/2015,58.98
9/18/2015,58.88
9/21/2015,53.64
9/22/2015,52.28
9/23/2015,51.56
9/24/2015,53.01
9/25/2015,47.58
9/28/2015,43.04
9/29/2015,40.75
9/30/2015,42.32
10/1/2015,41.09
10/2/2015,46.01
10/5/2015,45.47
10/6/2015,41.98
10/7/2015,43.42
10/8/2015,42.1
10/9/2015,43.24
10/12/2015,46.11
10/13/2015,45.01
10/14/2015,43.73
10/15/2015,46.92
10/16/2015,45.6
10/19/2015,46.84
10/20/2015,44.07
10/21/2015,44.43
10/22/2015,44.48
10/23/2015,45.05
10/26/2015,45.57
10/27/2015,49.54
10/28/2015,51.5
10/29/2015,51.49
10/30/2015,50.23
11/2/2015,53.93
11/3/2015,54.24
11/4/2015,54.56
11/5/2015,53.03
11/6/2015,52.05
11/9/2015,50.55
11/10/2015,47.57
11/11/2015,45.63
11/12/2015,43.35
11/13/2015,43.78
11/16/2015,42.77
11/17/2015,45.45
11/18/2015,46.14
11/19/2015,44.68
11/20/2015,43.21
11/23/2015,44.33
11/24/2015,44.15
11/25/2015,48.09
11/27/2015,48.06
11/30/2015,47.92
12/1/2015,47.69
12/2/2015,48.67
12/3/2015,48.25
12/4/2015,51.39
12/7/2015,51.61
12/8/2015,53.46
12/9/2015,52.78
12/10/2015,53.26
12/11/2015,48.75
12/14/2015,51.4
12/15/2015,56.1
12/16/2015,57.49
12/17/2015,59.23
12/18/2015,60.95
12/21/2015,59
12/22/2015,59.34
12/23/2015,58.64
12/24/2015,59.69
12/28/2015,58.9
12/29/2015,59.68
12/30/2015,58.59
12/31/2015,58.3
